GISID,area,reason,current_material,snapshot_material,update_date,status_date,month
66265,CATHEDRAL,material_changed_from_lead,Cu,Pb,1496728800000,,2017-06
66272,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
66319,CATHEDRAL,material_changed_from_lead,Cu,Pb,1629784800000,,2021-08
66323,CATHEDRAL,material_changed_from_lead,Cu,Pb,1757484000000,,2025-09
66324,CATHEDRAL,material_changed_from_lead,Cu,Pb,1757484000000,,2025-09
66327,CATHEDRAL,material_changed_from_lead,Cu,Pb,1579672800000,,2020-01
66328,CATHEDRAL,material_changed_from_lead,Cu,Pb,1706594400000,,2024-01
66338,CATHEDRAL,material_changed_from_lead,Cu,Pb,1706594400000,,2024-01
66350,NORTH CENTRAL,material_changed_from_lead,Cu,Pb,1578290400000,,2020-01
66369,CATHEDRAL,material_changed_from_lead,Cu,Pb,1704348000000,,2024-01
66405,CATHEDRAL,material_changed_from_lead,Cu,Pb,1557813600000,,2019-05
66413,CATHEDRAL,lead_with_updated_record,Pb,Pb,1740722400000,,2025-02
66445,CATHEDRAL,material_changed_from_lead,Cu,Pb,1760940000000,,2025-10
66447,CATHEDRAL,material_changed_from_lead,Cu,Pb,1576648800000,,2019-12
66450,CATHEDRAL,material_changed_from_lead,Cu,Pb,1706680800000,,2024-01
66451,CATHEDRAL,material_changed_from_lead,Cu,Pb,1707285600000,,2024-02
66471,CATHEDRAL,material_changed_from_lead,Cu,Pb,1587016800000,,2020-04
66511,CATHEDRAL,material_changed_from_lead,Cu,Pb,1489125600000,,2017-03
66522,CATHEDRAL,material_changed_from_lead,Cu,Pb,1540274400000,,2018-10
66537,CATHEDRAL,material_changed_from_lead,Cu,Pb,1695621600000,,2023-09
66567,CATHEDRAL,material_changed_from_lead,Cu,Pb,1689141600000,,2023-07
66568,CATHEDRAL,material_changed_from_lead,Cu,Pb,1587016800000,,2020-04
66576,CATHEDRAL,material_changed_from_lead,Cu,Pb,1637128800000,,2021-11
66582,CATHEDRAL,material_changed_from_lead,Cu,Pb,1595484000000,,2020-07
66584,CATHEDRAL,material_changed_from_lead,Cu,Pb,1659938400000,,2022-08
66585,CATHEDRAL,material_changed_from_lead,Cu,Pb,1710223200000,,2024-03
66599,CATHEDRAL,lead_with_updated_record,Pb,Pb,1489125600000,,2017-03
66601,CATHEDRAL,material_changed_from_lead,Cu,Pb,1706594400000,,2024-01
66604,CATHEDRAL,material_changed_from_lead,Cu,Pb,1579500000000,,2020-01
66605,CATHEDRAL,material_changed_from_lead,Cu,Pb,1604556000000,,2020-11
66606,CATHEDRAL,material_changed_from_lead,Cu,Pb,1604556000000,,2020-11
66649,CATHEDRAL,material_changed_from_lead,Cu,Pb,1582696800000,,2020-02
66650,CATHEDRAL,material_changed_from_lead,Cu,Pb,1598853600000,,2020-08
66658,CATHEDRAL,material_changed_from_lead,Cu,Pb,1695621600000,,2023-09
66661,CATHEDRAL,material_changed_from_lead,Cu,Pb,1720764000000,,2024-07
66668,CATHEDRAL,lead_with_updated_record,Pb,Pb,1585116000000,,2020-03
66713,CATHEDRAL,material_changed_from_lead,Cu,Pb,1755496800000,,2025-08
66734,CATHEDRAL,material_changed_from_lead,Cu,Pb,1485928800000,,2017-02
66745,CATHEDRAL,material_changed_from_lead,Cu,Pb,1706594400000,,2024-01
66752,CATHEDRAL,material_changed_from_lead,Cu,Pb,1607580000000,,2020-12
66754,CATHEDRAL,material_changed_from_lead,Cu,Pb,1531288800000,,2018-07
66755,CATHEDRAL,material_changed_from_lead,Cu,Pb,1531288800000,,2018-07
66762,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19791121,2024-01
66770,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19820924,2024-01
66772,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19820924,2024-01
66773,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19820923,2024-01
66777,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19820923,2024-01
66778,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19820923,2024-01
66802,CATHEDRAL,material_changed_from_lead,Cu,Pb,1695621600000,,2023-09
66803,CATHEDRAL,material_changed_from_lead,Cu,Pb,1713160800000,,2024-04
66820,CATHEDRAL,material_changed_from_lead,Cu,Pb,1588831200000,,2020-05
66855,CATHEDRAL,material_changed_from_lead,Cu,Pb,1706162400000,,2024-01
66867,CATHEDRAL,material_changed_from_lead,Cu,Pb,1722405600000,,2024-07
66877,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
66895,CATHEDRAL,lead_with_updated_record,Pb,Pb,1718172000000,1996,2024-06
66899,CATHEDRAL,material_changed_from_lead,Cu,Pb,1579154400000,,2020-01
66904,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
66905,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
66906,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
66933,NORTH CENTRAL,material_changed_from_lead,Cu,Pb,1486360800000,,2017-02
67021,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67030,CATHEDRAL,material_changed_from_lead,Cu,Pb,1554271200000,,2019-04
67047,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67053,CATHEDRAL,material_changed_from_lead,Cu,Pb,1520229600000,,2018-03
67055,CATHEDRAL,lead_with_updated_record,Pb,Pb,1704780000000,,2024-01
67056,CATHEDRAL,material_changed_from_lead,Cu,Pb,1632117600000,,2021-09
67058,CATHEDRAL,material_changed_from_lead,Cu,Pb,1632117600000,,2021-09
67059,CATHEDRAL,material_changed_from_lead,Cu,Pb,1663567200000,,2022-09
67060,CATHEDRAL,material_changed_from_lead,Cu,Pb,1663567200000,,2022-09
67061,CATHEDRAL,material_changed_from_lead,POLY E,Pb,1469512800000,,2016-07
67068,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67072,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67074,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67079,CATHEDRAL,lead_with_updated_record,Pb,Pb,1520402400000,,2018-03
67086,CATHEDRAL,material_changed_from_lead,Cu,Pb,1753682400000,,2025-07
67101,CATHEDRAL,material_changed_from_lead,Cu,Pb,1704693600000,,2024-01
438826,CATHEDRAL,material_changed_from_lead,Cu,Pb,1704693600000,,2024-01
67116,CATHEDRAL,material_changed_from_lead,Cu,Pb,1664258400000,,2022-09
67117,CATHEDRAL,material_changed_from_lead,Cu,Pb,1664258400000,,2022-09
67121,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67123,CATHEDRAL,material_changed_from_lead,Cu,Pb,1688623200000,,2023-07
67124,CATHEDRAL,material_changed_from_lead,Cu,Pb,1753682400000,,2025-07
67125,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19640724,2024-01
67126,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19640724,2024-01
67130,CATHEDRAL,material_changed_from_lead,Cu,Pb,1525068000000,,2018-04
67138,CATHEDRAL,material_changed_from_lead,Cu,Pb,1579672800000,,2020-01
67150,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,20110224,2024-01
67155,CATHEDRAL,material_changed_from_lead,Cu,Pb,1579672800000,,2020-01
67161,CATHEDRAL,material_changed_from_lead,Cu,Pb,1662098400000,,2022-09
67162,CATHEDRAL,material_changed_from_lead,Cu,Pb,1706594400000,,2024-01
67163,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67164,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67174,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67179,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67180,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67181,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67182,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67183,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67198,CATHEDRAL,material_changed_from_lead,Cu,Pb,1603173600000,,2020-10
67207,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67212,CATHEDRAL,lead_with_updated_record,Pb,Pb,1628143200000,,2021-08
67222,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67234,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67235,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67236,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67241,CATHEDRAL,material_changed_from_lead,Cu,Pb,1702447200000,,2023-12
67242,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67243,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67244,CATHEDRAL,lead_with_updated_record,Pb,Pb,1627365600000,20210426,2021-07
67248,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67251,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19720724,2024-01
67252,CATHEDRAL,lead_with_updated_record,Pb,Pb,1626415200000,20210630,2021-07
67263,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67264,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67273,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,1949,2024-01
67274,CATHEDRAL,material_changed_from_lead,Cu,Pb,1635746400000,,2021-11
67276,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,1932,2024-01
67277,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,1932,2024-01
67281,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67282,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,1949,2024-01
67283,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,193610,2024-01
67287,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19720724,2024-01
67289,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19720724,2024-01
67300,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19680212,2024-01
67302,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19680212,2024-01
67309,CATHEDRAL,lead_with_updated_record,Pb,Pb,1582178400000,,2020-02
67333,CATHEDRAL,material_changed_from_lead,Cu,Pb,1769148000000,,2026-01
67343,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,19720811,2024-01
67348,CATHEDRAL,material_changed_from_lead,Cu,Pb,1730700000000,,2024-11
67397,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67401,CATHEDRAL,lead_with_updated_record,Pb,Pb,1705989600000,,2024-01
67408,CATHEDRAL,material_changed_from_lead,Cu,Pb,1576821600000,,2019-12
67409,CATHEDRAL,material_changed_from_lead,Cu,Pb,1576821600000,,2019-12
